OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
491.0,203.5,0.9999995188096824,0.01997898746461789,11,0.2824885845184326,0.3010749816894531
495.0,193.5,0.9999995158713997,0.02196242436203335,13,0.31694984436035156,0.33881354331970215
500.0,185.5,0.9999995135024703,0.02700494156128457,17,0.411937952041626,0.43863487243652344
503.0,157.5,0.9999995111314678,0.02809437043203996,15,0.37793421745300293,0.40372347831726074
508.0,149.5,0.999999497838529,0.011493168372878717,11,0.28287363052368164,0.30298423767089844
527.0,122.5,0.9999994929819797,0.03791647094081026,21,0.5668489933013916,0.6015992164611816
532.0,114.5,0.9999994750961595,0.013338646709230847,17,0.43436288833618164,0.46312379837036133
553.0,102.5,0.9999994684894852,0.03885982960214303,39,1.071221113204956,1.1333394050598145
558.0,94.5,0.9999994553935546,0.024002787080482,15,0.4007742404937744,0.4256737232208252
581.0,85.5,0.9999994428282986,0.04101256310809183,29,0.8778436183929443,0.9337058067321777
630.0,82.5,0.9999994090505565,0.061985011290163414,15,0.45960164070129395,0.4790055751800537
