OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
168.0,873.0,0.9999998326775166,0.004032837583292938,1,0.09149980545043945,0.09508132934570312
172.0,805.0,0.9999998326775447,0.02719502790625839,15,0.3994767665863037,0.4253690242767334
176.0,777.0,0.999999830434552,0.036559955592232546,13,0.33521199226379395,0.3581836223602295
185.0,751.0,0.9999998272699661,0.06632414199741807,29,0.8821618556976318,0.9375159740447998
190.0,726.0,0.9999998205174053,0.05535476576204073,25,0.6907436847686768,0.7352497577667236
200.0,711.0,0.9999998118493462,0.059246731856262044,17,0.48314809799194336,0.5121982097625732
205.0,686.0,0.9999998058665228,0.053007429530559765,13,0.40041494369506836,0.42308998107910156
230.0,681.0,0.9999997926744881,0.09858473202217931,13,0.3158242702484131,0.3311164379119873
332.0,677.0,0.9999997787745613,0.33365831801381207,15,0.39896106719970703,0.41582536697387695
357.0,672.0,0.9999997634284339,0.33733454930576634,17,0.4525003433227539,0.47106122970581055
