OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
341.0,1336.0,0.9999996630143156,0.011772187733467719,5,0.4497101306915283,0.4836704730987549
342.0,1324.0,0.9999996630143945,0.014661972919727147,7,0.7802824974060059,0.8325109481811523
344.0,1322.0,0.9999996630143936,0.020390679923766954,29,3.1744449138641357,3.3797967433929443
345.0,1310.0,0.9999996630143934,0.02323012672620339,27,3.1873281002044678,3.3951621055603027
348.0,1273.0,0.9999996629973793,0.03160166559240713,39,4.777675151824951,5.069348096847534
351.0,1259.0,0.999999661376424,0.035260468392634,29,3.8150784969329834,4.052844524383545
352.0,1250.0,0.9999996599869182,0.034053746069442455,13,1.3924400806427002,1.4818475246429443
355.0,1236.0,0.9999996588871203,0.03911864969923813,23,2.492799997329712,2.663057804107666
364.0,1217.0,0.999999656865549,0.0573229375694463,45,5.777514696121216,6.097444534301758
369.0,1208.0,0.999999653500501,0.06097696848584332,69,8.303544044494629,8.763205766677856
370.0,1207.0,0.9999996516552162,0.05852761246685409,45,5.5239417552948,5.832643032073975
370.0,1166.0,0.9999996514401762,0.05794642323397124,47,5.6524693965911865,5.9767186641693115
376.0,1156.0,0.9999996407594495,0.04457300487322989,35,4.162859916687012,4.397733926773071
380.0,1141.0,0.9999996375463747,0.04617467102611894,37,4.504603624343872,4.761724233627319
382.0,1123.0,0.9999996322320369,0.03725664206836484,25,2.768824577331543,2.9455718994140625
388.0,1113.0,0.9999996250517336,0.033638489505706894,31,3.610316514968872,3.817106246948242
396.0,1107.0,0.9999996206892053,0.04214445897092863,47,5.847476959228516,6.169614315032959
402.0,1106.0,0.9999996179394862,0.04960071291077073,33,5.265411853790283,5.555194854736328
408.0,1101.0,0.9999996174711473,0.06242928348682281,69,10.00218415260315,10.503888607025146
410.0,1100.0,0.9999996150848518,0.06118256651651065,57,7.10597562789917,7.49612832069397
410.0,1093.0,0.9999996145984935,0.059996326614561175,53,6.601046800613403,6.96618127822876
416.0,1083.0,0.9999996111060898,0.0651588706814248,69,8.855934619903564,9.327771425247192
424.0,1077.0,0.9999996058398334,0.07037696622270331,111,15.177372217178345,15.977392196655273
428.0,1061.0,0.9999996025181264,0.0713040344164373,87,11.288301706314087,11.889204263687134
430.0,1043.0,0.9999995930444142,0.05359166200565718,41,5.079648971557617,5.36152195930481
436.0,1033.0,0.9999995812577148,0.039581915769335584,41,5.308143138885498,5.584582805633545
442.0,1030.0,0.9999995741293064,0.03649164445695475,33,4.014314413070679,4.220395088195801
444.0,1027.0,0.9999995718985223,0.035807483564685744,23,2.7965915203094482,2.9486663341522217
448.0,1020.0,0.9999995696220356,0.03933490198656767,39,4.671480894088745,4.924182891845703
456.0,1014.0,0.9999995641250309,0.04413384063717872,41,5.135395050048828,5.407979726791382
464.0,1013.0,0.9999995591999382,0.049999867758156444,41,5.4234840869903564,5.689294338226318
468.0,1011.0,0.9999995583595032,0.05632372560983594,63,8.623785257339478,9.024362802505493
468.0,1008.0,0.9999995566614921,0.05269549698788583,47,7.694906234741211,8.033519744873047
476.0,1002.0,0.999999554070918,0.06317419852367047,87,13.650409698486328,14.250170230865479
484.0,1001.0,0.9999995487282141,0.06762027793438073,71,11.918520450592041,12.413404941558838
509.0,999.0,0.9999995478160837,0.11162295506761409,179,29.94216012954712,31.12564182281494
512.0,997.0,0.9999995459724927,0.11322752570615968,209,34.42001175880432,35.86354088783264
513.0,990.0,0.999999544102443,0.11131080590919534,103,16.210887670516968,16.87146544456482
513.0,985.0,0.9999995373363241,0.09812149049290524,83,11.89238691329956,12.411577939987183
518.0,983.0,0.999999532279253,0.09706419591500597,85,11.744280338287354,12.276002645492554
519.0,975.0,0.9999995302019989,0.0948015403583803,87,12.157520532608032,12.718289136886597
524.0,973.0,0.9999995215956782,0.08701465397375384,81,12.39893651008606,13.003653764724731
524.0,969.0,0.9999995193752796,0.08277725217352111,57,7.239249229431152,7.591211318969727
525.0,968.0,0.9999995148575932,0.07591922601931726,49,7.73836350440979,8.111132144927979
530.0,959.0,0.9999995137124645,0.0824763490807364,105,15.00528597831726,15.6763436794281
531.0,958.0,0.9999995031145966,0.06424594556727904,17,2.175508975982666,2.2840182781219482
534.0,957.0,0.9999995019022402,0.06723266041021236,27,3.9806342124938965,4.198688268661499
536.0,956.0,0.9999995006821557,0.06843685849246775,33,5.009703159332275,5.249079465866089
540.0,953.0,0.999999499454041,0.07306303988163661,49,6.819850206375122,7.131458520889282
542.0,951.0,0.9999994957177394,0.0695899260032472,47,5.2860095500946045,5.527975797653198
543.0,949.0,0.9999994931789298,0.0666278643455225,21,2.5566794872283936,2.6829757690429688
547.0,946.0,0.999999490596218,0.06873166087934178,41,4.9775073528289795,5.192900896072388
550.0,939.0,0.9999994866257882,0.06659234316008472,45,5.058734178543091,5.291969060897827
554.0,937.0,0.9999994767563877,0.055516946199721987,15,1.927997350692749,2.001741409301758
560.0,933.0,0.9999994737113732,0.06019888149129997,23,2.4964094161987305,2.5845823287963867
562.0,931.0,0.9999994671547799,0.051876833578565075,19,1.9985616207122803,2.0728912353515625
