OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
491.0,203.5,0.9999995188096824,0.01997898746461789,11,0.2333827018737793,0.24945402145385742
495.0,193.5,0.9999995158713997,0.02196242436203335,13,0.2736215591430664,0.2937350273132324
500.0,185.5,0.9999995135024703,0.02700494156128457,17,0.3453686237335205,0.3693561553955078
503.0,157.5,0.9999995111314678,0.02809437043203996,15,0.3503117561340332,0.37526464462280273
508.0,149.5,0.999999497838529,0.011493168372878717,11,0.2282407283782959,0.24384546279907227
527.0,122.5,0.9999994929819797,0.03791647094081026,21,0.43980908393859863,0.46958255767822266
532.0,114.5,0.9999994750961595,0.013338646709230847,17,0.3455996513366699,0.3717327117919922
553.0,102.5,0.9999994684894852,0.03885982960214303,39,0.7895209789276123,0.8401379585266113
558.0,94.5,0.9999994553935546,0.024002787080482,15,0.2819175720214844,0.30043911933898926
581.0,85.5,0.9999994428282986,0.04101256310809183,29,0.5817606449127197,0.6190376281738281
630.0,82.5,0.9999994090505565,0.061985011290163414,15,0.291353702545166,0.3060455322265625
