OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
33220.0,40300.0,0.999967216395804,0.013136539338108922,21,16.192709922790527,17.07133936882019
33280.0,40200.0,0.9999670361842504,0.0095007296679337,33,34.64309740066528,35.97936224937439
33380.0,40160.0,0.9999670100624322,0.011685514234076043,61,67.71545934677124,70.14499402046204
33510.0,39830.0,0.99996699884564,0.015184890269903493,87,101.91466760635376,105.28460597991943
33610.0,39790.0,0.999966888097241,0.014819912944225766,57,61.96604084968567,64.29408240318298
33660.0,39760.0,0.9999668721940359,0.015810875490355095,75,82.43365812301636,85.46361827850342
33720.0,39660.0,0.999966859879483,0.017196901425749117,95,103.52822661399841,107.45862150192261
33950.0,39290.0,0.9999668164257646,0.022575133953798825,187,213.5643072128296,221.25055932998657
34230.0,39090.0,0.9999666249268315,0.024975952813813717,123,138.0445578098297,143.17244815826416
34290.0,38990.0,0.9999665024208075,0.02310938585612244,83,90.97804307937622,94.41326117515564
34500.0,38950.0,0.9999664366317538,0.027148747459505313,135,154.03767728805542,159.57862949371338
34520.0,38620.0,0.9999664095637495,0.026928267180188214,135,151.3331172466278,156.95918989181519
34730.0,38580.0,0.9999661729950948,0.02600043560726695,125,140.5666847229004,145.6918170452118
34820.0,38300.0,0.9999661429263236,0.027654404291804803,151,175.2697479724884,181.4312379360199
35170.0,38040.0,0.9999659250510351,0.031135941688209223,131,154.17913722991943,159.43906712532043
35450.0,37840.0,0.9999657115800615,0.032766716383525324,111,131.14854407310486,135.59055495262146
35510.0,37740.0,0.999965540045354,0.029570413641841133,99,110.66025924682617,114.76399612426758
35740.0,37370.0,0.9999654518629584,0.033348153131990334,131,151.9745545387268,157.11584615707397
36040.0,37050.0,0.9999651113481993,0.031946399395126196,127,147.19832849502563,152.250732421875
36410.0,36920.0,0.9999647979365552,0.03317595689113549,133,154.58853387832642,159.74977326393127
36630.0,36680.0,0.9999646652242163,0.035359657429962964,153,176.43024611473083,182.21225714683533
36770.0,36570.0,0.9999644113649855,0.03212850206922084,95,112.77500605583191,116.41980600357056
36930.0,36360.0,0.9999642909206187,0.03306040223192322,101,123.74374556541443,127.71421098709106
37070.0,36250.0,0.9999640532331555,0.03030032887751228,79,93.88226675987244,96.97860836982727
37300.0,36230.0,0.9999639244060464,0.032825900334951856,77,95.83026838302612,98.88699340820312
37440.0,36120.0,0.9999639006476478,0.03580789754097755,111,137.4780559539795,141.7831311225891
