OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
2499.5,7847.5,0.9999975674401409,0.026781413627335774,9,2.1863067150115967,2.3273961544036865
2512.5,7698.5,0.9999975674286301,0.03181239102470617,39,12.55158543586731,13.142436265945435
2519.5,7679.5,0.9999975655339319,0.033750321252110194,39,12.987000942230225,13.579683065414429
2532.5,7530.5,0.9999975651095807,0.038542777169149695,69,22.48249125480652,23.543222188949585
2562.5,7525.5,0.9999975607658316,0.04810374007485814,83,30.149986028671265,31.41262674331665
2585.5,6488.5,0.9999975605900818,0.05650361025808471,107,39.06179094314575,40.69977927207947
2598.5,6469.5,0.9999974378962062,0.014006622577736218,23,7.676103115081787,8.003935098648071
2661.5,6320.5,0.9999974339587742,0.03586653265857839,61,21.57931685447693,22.437198877334595
2674.5,6301.5,0.9999973995270981,0.02767885612092486,29,10.526471376419067,10.962837934494019
2835.5,6254.5,0.9999973945933021,0.0811473477641961,87,33.168301820755005,34.41413903236389
2878.5,6095.5,0.9999973817744375,0.09042016332745292,103,38.27673125267029,39.80313444137573
2954.5,5927.5,0.9999973311148788,0.09667113941458762,123,46.148998498916626,47.907121658325195
3115.5,5880.5,0.9999972628150697,0.12142997026535797,189,76.39463686943054,79.12858414649963
3116.5,5827.5,0.9999972403987489,0.11451909250097057,115,46.18809628486633,47.870525598526
3132.5,5811.5,0.999997213267368,0.11038064510096898,207,81.97945976257324,85.00937104225159
3135.5,5682.5,0.9999972046921435,0.10849693712266664,165,64.82770919799805,67.25158405303955
3211.5,5514.5,0.9999971293733378,0.1061414730619367,103,40.627267599105835,42.12518572807312
3396.5,5453.5,0.9999970160486313,0.12146286892130669,67,30.263691663742065,31.205788135528564
3412.5,5437.5,0.9999969705367032,0.11224518863867437,59,24.932949542999268,25.736888647079468
3447.5,5429.5,0.9999969581983497,0.11767900005947174,67,27.819318294525146,28.746910572052002
3455.5,5365.5,0.9999969519665028,0.11791824796820734,71,28.95737338066101,29.946922540664673
3572.5,5339.5,0.999996900630996,0.13243694864582306,113,47.74798583984375,49.21827030181885
3578.5,5215.5,0.9999968790429948,0.12785887885116534,53,22.409528732299805,23.120383739471436
3594.5,5199.5,0.9999967705370716,0.10155433990175122,69,25.789825677871704,26.702906370162964
3632.5,5087.5,0.9999967558685883,0.10691495983012103,63,24.144670009613037,25.008842945098877
3648.5,5071.5,0.9999966483805554,0.08137057934061383,43,15.261545181274414,15.848332405090332
3683.5,5063.5,0.9999966322631737,0.0857236804886449,37,13.239269018173218,13.733817338943481
3691.5,4999.5,0.9999966241253768,0.08550057705983084,55,21.362003087997437,22.134851932525635
3808.5,4973.5,0.9999965569868678,0.09596609457573912,47,18.010040760040283,18.64198613166809
3819.5,4963.5,0.9999965285942509,0.09113607917860073,39,14.79012393951416,15.284892559051514
3936.5,4937.5,0.9999965174881709,0.11532787358317356,59,23.080134391784668,23.79150629043579
3996.5,4930.5,0.9999964881057869,0.12125754795066013,65,25.31391453742981,26.101207494735718
4009.5,4885.5,0.999996480066063,0.12210152548877252,57,22.519508838653564,23.21478295326233
4094.5,4877.5,0.9999964269924893,0.1273641452698042,51,20.3650541305542,21.013518810272217
4111.5,4827.5,0.9999964172939879,0.1286133993509693,59,22.6117844581604,23.33587908744812
4124.5,4817.5,0.9999963547369012,0.11619272756342108,97,38.01382493972778,39.249194383621216
4132.5,4765.5,0.9999963418028629,0.11477383341505847,81,32.324559450149536,33.373950242996216
4148.5,4749.5,0.9999962720727658,0.10137947921275674,49,18.623600721359253,19.241520881652832
4178.5,4689.5,0.9999962497323732,0.1024847138745495,59,21.248461723327637,21.988489866256714
4191.5,4677.5,0.9999961618587868,0.08430365994882026,51,17.619380235671997,18.22237777709961
4194.5,4673.5,0.9999961434432163,0.08056817741518897,39,13.68878173828125,14.12118148803711
4229.5,4665.5,0.9999961372373116,0.08670937830859847,43,15.42183542251587,15.900511741638184
4237.5,4601.5,0.9999961247215023,0.08548000148345371,41,14.27145791053772,14.71927285194397
4354.5,4575.5,0.9999960190772234,0.08579107299724313,31,10.78137755393982,11.137665271759033
4414.5,4568.5,0.9999959729649753,0.08777097732921557,31,10.860609531402588,11.214154481887817
4531.5,4542.5,0.9999959601919297,0.10850533680759777,43,15.483936786651611,15.91686487197876
4835.5,4515.5,0.9999959113058218,0.15444231741255596,89,32.30946922302246,33.22128677368164
4852.5,4485.5,0.9999958579077423,0.14640035990162376,73,27.609830617904663,28.381027698516846
4922.5,4483.5,0.9999957949585659,0.1457508522423614,61,21.9925754070282,22.64081358909607
4926.5,4482.5,0.9999957906106652,0.14556189374204806,63,22.58373522758484,23.246490716934204
4942.5,4462.5,0.9999957884291459,0.14788652505483216,71,24.93509268760681,25.6468448638916
4943.5,4362.5,0.9999957436858942,0.13900796975129656,67,22.792362213134766,23.4575834274292
