OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
6933.5,3483.5,0.9999931439046981,0.011163871765939512,15,1.1650607585906982,1.2371172904968262
6943.5,3440.5,0.99999314072628,0.012130235015988812,25,1.8224194049835205,1.9427239894866943
6965.5,3420.5,0.9999931298466294,0.013688412344434148,25,1.8781437873840332,1.9924278259277344
6983.5,3384.5,0.9999931235953149,0.015335479605402519,35,2.7546091079711914,2.9191579818725586
7005.5,3364.5,0.9999931106745608,0.016583337040979345,37,3.0546579360961914,3.229156970977783
7037.5,3362.5,0.9999931026282868,0.01991165806276311,49,4.245525121688843,4.473049640655518
7102.5,3281.5,0.999993101790825,0.02876322871182623,93,8.595096588134766,9.027397155761719
7124.5,3261.5,0.9999930629965695,0.026317155795811342,55,4.751962661743164,5.016581058502197
7142.5,3225.5,0.9999930520102687,0.0272328002288126,41,3.4587152004241943,3.6641197204589844
7164.5,3205.5,0.9999930308770287,0.027270156436111585,33,2.767653226852417,2.92812180519104
7196.5,3203.5,0.9999930183500773,0.029854802224016073,49,4.366203546524048,4.605112791061401
7269.5,3176.5,0.9999930170658632,0.039420299899433936,115,10.370186805725098,10.916322469711304
7271.5,3160.5,0.9999929991604093,0.03722208846890325,93,8.086709260940552,8.535578489303589
7286.5,3139.5,0.9999929880411982,0.037678062882025944,85,7.498236179351807,7.908124685287476
7311.5,3088.5,0.9999929728510857,0.03889093793523693,65,6.047351121902466,6.362285852432251
7345.5,3037.5,0.9999929329050142,0.03790143915154758,61,5.433374404907227,5.726562023162842
7376.5,2981.5,0.9999928881786362,0.03588133171569221,55,4.920841693878174,5.184291124343872
7410.5,2930.5,0.9999928330191447,0.03286136587746714,41,3.7573418617248535,3.965977668762207
7492.5,2898.5,0.9999927763688332,0.035885063786912356,57,5.053833246231079,5.320617198944092
7570.5,2860.5,0.9999927369256933,0.04060837469316893,73,6.770854711532593,7.1114983558654785
7680.5,2834.5,0.9999926852250236,0.047617346649117175,105,10.088708639144897,10.573274612426758
7762.5,2802.5,0.9999926463462088,0.052669399821475234,103,10.138851642608643,10.624707698822021
7840.5,2764.5,0.9999925935599481,0.055361259548511635,83,8.454507827758789,8.819164514541626
8246.5,2744.5,0.9999925223811772,0.09323727456601201,211,22.74367642402649,23.60697841644287
8323.5,2706.5,0.9999924808746222,0.09663898957743422,127,13.025558948516846,13.537387132644653
8366.5,2686.5,0.9999923936687667,0.09085863553795931,121,12.179919242858887,12.671379804611206
8368.5,2673.5,0.9999923431934777,0.08504433116693821,103,10.243595600128174,10.6638765335083
8562.5,2656.5,0.9999923085887799,0.10173299709018024,167,16.60960578918457,17.262381553649902
8622.5,2647.5,0.99999226102917,0.10246786637721694,137,14.48294711112976,15.052473783493042
8623.5,2646.5,0.9999922347210999,0.09952120457528585,107,11.044632196426392,11.469096183776855
8643.5,2629.5,0.9999922317471349,0.10126073264996371,131,13.496232032775879,14.02333664894104
8648.5,2620.5,0.999992179528204,0.09574240756126542,91,9.570971488952637,9.948274612426758
8668.5,2613.5,0.9999921505138251,0.09448160960617702,59,5.600032329559326,5.811129093170166
8701.5,2580.5,0.9999921272219617,0.09523897829790215,85,8.54914903640747,8.877249479293823
8722.5,2562.5,0.9999920073068788,0.0836694625180439,41,3.921107053756714,4.06680154800415
8902.5,2538.5,0.9999919336491148,0.09392295679645675,55,5.250406265258789,5.441453456878662
9098.5,2524.5,0.9999918240809689,0.10139923911245162,45,4.0455076694488525,4.190671682357788
9249.5,2522.5,0.9999917523856554,0.1083178186569799,43,3.908451557159424,4.03925347328186
9278.5,2500.5,0.9999917415634403,0.10993840045282463,41,4.125961780548096,4.250948190689087
9625.5,2484.5,0.9999916103212654,0.1283903458345243,25,2.0340170860290527,2.099970579147339
