OBJ1,OBJ2,Rootgap,Rootgap-OPT,BNB-Nodes,SDP-Time,Total-Time
491.0,632.0,0.9999995188096845,0.01997899183300418,11,0.28639721870422363,0.3027780055999756
495.0,627.0,0.9999995156149756,0.021444396038854775,15,0.3695802688598633,0.39443254470825195
499.0,623.0,0.9999995145752701,0.027204951202978583,21,0.5192091464996338,0.553868293762207
500.0,592.0,0.9999995135393467,0.027078694237271862,13,0.3152799606323242,0.33612608909606934
512.0,585.0,0.9999994991096381,0.02169851300722314,15,0.35011887550354004,0.3725748062133789
538.0,572.0,0.9999994913247066,0.054506890405862256,23,0.4844024181365967,0.5106003284454346
550.0,565.0,0.9999994733677999,0.04248691004591943,13,0.28639888763427734,0.30239439010620117
581.0,558.0,0.999999461979497,0.07397503888303444,17,0.36087870597839355,0.37795567512512207
609.0,553.0,0.9999994483580799,0.09418404003069325,21,0.486072301864624,0.5078277587890625
638.0,549.0,0.9999994350559461,0.11450775338030975,19,0.41614294052124023,0.43533992767333984
664.0,548.0,0.9999994186991841,0.1245469649144681,9,0.1842212677001953,0.1922626495361328
